"trial_type","trial_index","plugin_version","time_elapsed","participant","participant_id","session_token","study_id","session_id","screen_width","screen_height","group","card_set","walk_id","timestamp","window_left_ms","window_status","success","timeout","failed_images","failed_audio","failed_video","screen_id","rt","stimulus","response","view_history","value","card_up","card_down","chosen_card","chosen_side","rt_ms","deadline_missed","outcome","p_win_chosen","p_win_up","p_win_down","coins_delta","coins_total","phase","block","trial","trial_in_block","video_present","video_file","question_order","quiz_attempt","quiz_q1","quiz_q2","quiz_q3","quiz_q4","quiz_q5","quiz_q6","quiz_q7","quiz_q8","quiz_q9","quiz_all_correct","free_text_1","free_text_2","free_text_3","free_text_4","final_feedback"
"pavlovia","0","null","832","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:19:17.827Z","0","ok","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","7976","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:19:24.971Z","0","ok","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","2","2.1.0","30239","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:19:47.235Z","2574","left","","","","","","enter_fullscreen","22261","<div class=""screen-text"">
  <p>This experiment will be in fullscreen mode.</p>
  <p>Please make sure your browser is on 100% zoom, and your keyboard is on the English language.</p>
  <p>Please remain engaged and do not move your mouse cursor to any other computer window throughout the experiment.</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","2.1.0","33240","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:19:50.235Z","0","ok","true","","","","","enter_fullscreen_confirm","1997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","2.1.0","202923","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:22:39.918Z","0","ok","","","","","","welcome_instructions_tips","169680","","","[{""page_index"":0,""viewing_time"":6163},{""page_index"":1,""viewing_time"":5583},{""page_index"":2,""viewing_time"":8034},{""page_index"":3,""viewing_time"":12000},{""page_index"":4,""viewing_time"":9934},{""page_index"":5,""viewing_time"":20300},{""page_index"":6,""viewing_time"":10934},{""page_index"":7,""viewing_time"":19567},{""page_index"":8,""viewing_time"":5034},{""page_index"":9,""viewing_time"":8100},{""page_index"":10,""viewing_time"":13233},{""page_index"":11,""viewing_time"":12967},{""page_index"":12,""viewing_time"":14916},{""page_index"":13,""viewing_time"":13700},{""page_index"":14,""viewing_time"":9217}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","2.1.0","209562","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:22:46.557Z","0","ok","","","","","","start-practice","6638","<div class=""screen-text"">
    <h1>Practice</h1>
    <p>You will now have four practice rounds. These are the cards that will be dealt in the practice:</p>
    <img class=""instruction-img"" src=""assets/instructions/deck_overview.png"" alt=""The practice deck"">
    <p class=""center muted"">Press SPACE to begin</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","6","2.1.0","209564","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:22:46.559Z","0","ok","","","","","","practice_novideo_zone_mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","2.1.0","218572","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:22:55.567Z","0","ok","","","","","","practice_trial","","","","","","4","3","null","null","null","true","null","null","null","null","0","0","practice","0","1","1","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","2.1.0","227579","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:04.574Z","0","ok","","","","","","practice_trial","","","","","","2","4","null","null","null","true","null","null","null","null","0","0","practice","0","2","2","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","2.1.0","236585","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:13.580Z","0","ok","","","","","","practice_trial","","","","","","2","4","null","null","null","true","null","null","null","null","0","0","practice","0","3","3","false","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","2.1.0","245589","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:22.585Z","0","ok","","","","","","practice_trial","","","","","","4","1","null","null","null","true","null","null","null","null","0","0","practice","0","4","4","false","","","","","","","","","","","","","","","","","",""
"call-function","11","2.1.0","245590","","yerl9g4z","3b4y0357","6a645a5fa766b6fd5a83642a","6a64e1f7d5619d426d2a9e9f","1470","956","B","set2","1","2026-07-25T16:23:22.585Z","0","ok","","","","","","practice_novideo_zone_unmount","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
